0.016,0.00668377,-1.98169,0.142036,3.10708,0.0381914,-0.0946482,-1.38716
0.036,0.00668377,-1.98169,0.142036,3.10716,0.0382704,-0.0947273,-1.38726
0.056,0.00668377,-1.98169,0.142036,3.10716,0.0382704,-0.0945691,-1.38695
0.076,0.00668377,-1.98169,0.142036,3.10708,0.0382704,-0.0945691,-1.38726
0.096,0.00668377,-1.98171,0.142082,3.10716,0.0382704,-0.0945691,-1.38706
0.116,0.00668377,-1.98171,0.142082,3.10716,0.0381914,-0.0946482,-1.38736
0.136,0.00668377,-1.98169,0.142036,3.10708,0.0382704,-0.0945691,-1.38706
0.156,0.00668377,-1.98169,0.142036,3.10716,0.0382704,-0.0945691,-1.38747
0.176,0.00668377,-1.98171,0.142082,3.10716,0.0381914,-0.0946482,-1.38747
0.196,0.00668377,-1.98169,0.142036,3.10708,0.0382704,-0.0945691,-1.38695
0.216,0.00668377,-1.98169,0.142036,3.10716,0.0381914,-0.0946482,-1.38747
0.236,0.00668377,-1.98171,0.142082,3.10716,0.0381914,-0.0946482,-1.38706
0.256,0.00668377,-1.98169,0.142036,3.10716,0.0381123,-0.0945691,-1.38716
0.276,0.00668377,-1.98169,0.142036,3.10716,0.0382704,-0.0945691,-1.38675
0.296,0.00664725,-1.98169,0.142036,3.10716,0.0383495,-0.0946482,-1.38736
0.316,0.00668377,-1.98171,0.142082,3.10716,0.0381914,-0.0944901,-1.38716
0.336,0.00668377,-1.98169,0.142036,3.10716,0.0382704,-0.0945691,-1.38706
0.356,0.00668377,-1.98169,0.142036,3.10708,0.0381914,-0.0946482,-1.38747
0.376,0.00664725,-1.98169,0.142036,3.10716,0.0381914,-0.0944901,-1.38706
0.396,0.00668377,-1.98169,0.142036,3.10716,0.0381914,-0.0946482,-1.38716
0.416,0.00664725,-1.98171,0.142082,3.10716,0.0381914,-0.0944901,-1.38706
0.436,0.00668377,-1.98171,0.142082,3.10716,0.0382704,-0.0945691,-1.38716
0.456,0.00668377,-1.98169,0.142036,3.10716,0.0383495,-0.0946482,-1.38706
0.476,0.00668377,-1.98171,0.142082,3.10716,0.0382704,-0.0945691,-1.38736
